"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2022-10-05","82.2","-1.38","6.1","Trivino, Lou",666969,642152,"field_out","hit_into_play",,,,,6,"Adolis Garcia grounds out softly, pitcher Lou Trivino to first baseman Anthony Rizzo.","R","R","R","TEX","NYY","X",1,"ground_ball",1,2,2022,"1.4","0.11","0.39","2.38",,,,2,7,"Bot",133.44,193.86,,,543309,,,1.2687790574964615,-119.69010214098437,-2.0951208984730365,13.239677191830161,23.452827024835027,-30.914493796750406,"3.44","1.71",2,"46.1",-46,"81.6",2648,"5.9",661996,642152,543309,519203,518934,518626,672724,665828,543305,503556,"54.61",0.197,0.177,"0",1,0,0,1,56,4,"Slider",4,2,4,2,2,4,4,2,"Standard","Standard",66,"-0.006","-0.07"
"FF","2022-10-05","95.5","-1.26","6.11","Trivino, Lou",666969,642152,,"ball",,,,,11,"Adolis Garcia grounds out softly, pitcher Lou Trivino to first baseman Anthony Rizzo.","R","R","R","TEX","NYY","B",,,0,2,2022,"-0.83","1.07","-0.24","4.07",,,,2,7,"Bot",,,,,543309,,,4.5525318891860715,-139.0286209988458,-2.197178907202078,-11.738973159413467,29.336264841772245,-17.95576498593169,"3.36","1.68",,,,"95.7",1872,"6.3",661996,642152,543309,519203,518934,518626,672724,665828,543305,503556,"54.23",,,,,,,,56,3,"4-Seam Fastball",4,2,4,2,2,4,4,2,"Standard","Standard",228,"0","0.011"
"SI","2022-10-05","96.4","-1.46","6.02","Trivino, Lou",666969,642152,,"foul",,,,,7,"Adolis Garcia grounds out softly, pitcher Lou Trivino to first baseman Anthony Rizzo.","R","R","R","TEX","NYY","S",,,0,1,2022,"-1.31","0.71","-0.41","2.13",,,,2,7,"Bot",,,,,543309,,,5.755575085786518,-140.24003560648438,-6.374028186153826,-18.619732110063694,31.029853396565144,-21.536410491495896,"3.44","1.71",242,"80",42,"96.5",1942,"6.3",661996,642152,543309,519203,518934,518626,672724,665828,543305,503556,"54.19",,,,,,,,56,2,"Sinker",4,2,4,2,2,4,4,2,"Standard","Standard",227,"0","-0.023"
"SL","2022-10-05","82.9","-1.46","6.14","Trivino, Lou",666969,642152,,"foul",,,,,8,"Adolis Garcia grounds out softly, pitcher Lou Trivino to first baseman Anthony Rizzo.","R","R","R","TEX","NYY","S",,,0,0,2022,"0.79","0.33","-0.24","2.22",,,,2,7,"Bot",,,,,543309,,,1.2339955485191936,-120.7854400711336,-3.186771874832591,7.549684559757132,22.291136815933683,-28.501996085456753,"3.44","1.71",95,"83.8",78,"83",2651,"6.2",661996,642152,543309,519203,518934,518626,672724,665828,543305,503556,"54.34",,,,,,,,56,1,"Slider",4,2,4,2,2,4,4,2,"Standard","Standard",78,"0","-0.017"
"FF","2022-10-05","96","-1.38","6.07","Trivino, Lou",664029,642152,"field_out","hit_into_play",,,,,4,"Mark Mathias flies out to center fielder Aaron Hicks.","R","R","R","TEX","NYY","X",8,"fly_ball",1,0,2022,"-1.11","1.01","-0.7","2.46",,,,1,7,"Bot",129.81,43.61,,,543309,,,4.310856689155896,-139.60198001606963,-6.221619608792669,-15.446314364168101,32.48777482950045,-17.766615823913384,"3.34","1.59",384,"99.8",28,"95.6",2033,"6.2",661996,642152,543309,519203,518934,518626,672724,665828,543305,503556,"54.31",0.571,1.053,"0",1,0,0,6,55,2,"4-Seam Fastball",4,2,4,2,2,4,4,2,"Standard","Standard",227,"-0.007","-0.178"
"SL","2022-10-05","84","-1.32","6.12","Trivino, Lou",664029,642152,,"ball",,,,,14,"Mark Mathias flies out to center fielder Aaron Hicks.","R","R","R","TEX","NYY","B",,,0,0,2022,"1.08","0.19","1.8","1.37",,,,1,7,"Bot",,,,,543309,,,5.06420032654968,-122.17509838122217,-4.901620619312975,9.63465284557448,26.5442058205516,-29.441154105075363,"3.41","1.62",,,,"83.4",2594,"6.2",661996,642152,543309,519203,518934,518626,672724,665828,543305,503556,"54.34",,,,,,,,55,1,"Slider",4,2,4,2,2,4,4,2,"Standard","Standard",66,"0","0.023"
"SL","2022-10-05","83.2","-1.38","6.12","Trivino, Lou",543760,642152,"field_out","hit_into_play",,,,,12,"Marcus Semien flies out to shortstop Oswald Peraza.","R","R","R","TEX","NYY","X",6,"fly_ball",3,2,2022,"1.2","0.42","0.15","3.57",,,,0,7,"Bot",89.77,145.8,,,543309,,,1.1747112278480751,-121.1772239904747,-0.21842201237086867,11.60522350904307,23.142613084807948,-28.23365524153015,"3.38","1.64",164,"80.3",62,"82.9",2574,"6",661996,642152,543309,519203,518934,518626,672724,665828,543305,503556,"54.52",0.023,0.025,"0",1,0,0,3,54,6,"Slider",4,2,4,2,2,4,4,2,"Infield shift","Standard",65,"-0.01","-0.299"
"FF","2022-10-05","95.6","-1.39","6.11","Trivino, Lou",543760,642152,,"ball",,,,,11,"Marcus Semien flies out to shortstop Oswald Peraza.","R","R","R","TEX","NYY","B",,,2,2,2022,"-0.92","1.07","-1.41","3.59",,,,0,7,"Bot",,,,,543309,,,2.024922172219818,-139.292808497288,-3.4475103829966733,-12.459473516444794,30.68296578094104,-17.68296029078757,"3.4","1.68",,,,"95.6",1926,"6.2",661996,642152,543309,519203,518934,518626,672724,665828,543305,503556,"54.33",,,,,,,,54,5,"4-Seam Fastball",4,2,4,2,2,4,4,2,"Infield shift","Standard",227,"0","0.103"
"CH","2022-10-05","88.9","-1.53","6.07","Trivino, Lou",543760,642152,,"foul",,,,,6,"Marcus Semien flies out to shortstop Oswald Peraza.","R","R","R","TEX","NYY","S",,,2,1,2022,"-1.07","0.73","0.51","2.56",,,,0,7,"Bot",,,,,543309,,,7.221924267835874,-129.2516223423732,-4.04465490417159,-13.549759972454346,27.344635930705838,-23.386354198809133,"3.38","1.64",128,"60.8",23,"88.8",1929,"6.3",661996,642152,543309,519203,518934,518626,672724,665828,543305,503556,"54.21",,,,,,,,54,4,"Changeup",4,2,4,2,2,4,4,2,"Infield shift","Standard",257,"0","-0.066"
"SL","2022-10-05","82.4","-1.58","6.05","Trivino, Lou",543760,642152,,"ball",,,,,11,"Marcus Semien flies out to shortstop Oswald Peraza.","R","R","R","TEX","NYY","B",,,1,1,2022,"0.87","0.21","-1.25","2.92",,,,0,7,"Bot",,,,,543309,,,-0.9424375206873687,-120.0494275943405,-1.0121289142953254,8.60419125922121,23.108087181675188,-30.20225355730334,"3.39","1.65",,,,"82.1",2570,"6",661996,642152,543309,519203,518934,518626,672724,665828,543305,503556,"54.5",,,,,,,,54,3,"Slider",4,2,4,2,2,4,4,2,"Infield shift","Standard",73,"0","0.049"
