year,player_id,pitch_type,pitches,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,rp_x,rp_z,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
2021,605280,SI,663,"Holmes, Clay",1124,59,0.206,0.063,0.263,0.269,0.271,0.274,0.195,33,160,87.6,-13.5,2215,96,95.57,61,282,381,-0.4,-1.02,6.41,6.15,111,152,117,148,297,319,287
2021,642152,SI,385,"Trivino, Lou",1177,32.7,0.329,0.076,0.351,0.405,0.37,0.365,0.279,26,79,88.3,4.1,2006,95.9,96.19,23,186,199,0.3,-1.49,5.88,6.6,110,149,114,151,301,327,302
2021,593974,CH,376,"Peralta, Wandy",781,48.1,0.2,0.086,0.241,0.286,0.248,0.262,0.201,21,105,83.6,5.2,2182,87.8,86.96,72,212,164,-0.8,1.56,5.68,5.78,107,151,120,144,299,321,287
2021,642152,FF,311,"Trivino, Lou",1177,26.4,0.171,0.122,0.224,0.293,0.275,0.336,0.215,14,82,88.4,20.2,2008,95.6,94.31,47,165,146,-1.3,-1.5,5.89,6.62,111,149,120,150,301,328,301
2021,605280,SL,311,"Holmes, Clay",1124,27.7,0.178,0.082,0.267,0.26,0.201,0.199,0.18,13,73,81.7,6.4,2461,87.7,87.65,54,143,168,-0.1,-0.95,6.45,6.06,108,151,118,147,301,321,286
2021,642152,CU,200,"Trivino, Lou",1177,17,0.267,0.111,0.262,0.378,0.302,0.379,0.32,12,45,86.7,9.9,2249,92.9,90.28,15,95,105,-2.6,-1.56,5.99,6.56,107,149,118,147,304,328,298
2021,593974,SI,175,"Peralta, Wandy",781,22.4,0.256,0.026,0.313,0.282,0.287,0.353,0.299,10,39,84.5,-2.8,2142,94.9,93.82,16,76,99,-1.1,1.3,6.05,5.7,110,153,120,143,296,320,289
2021,605280,CU,150,"Holmes, Clay",1124,13.3,0.292,0.167,0.375,0.458,0.362,0.373,0.276,7,24,92.9,1.9,2663,82.7,82.11,14,45,105,-0.6,-0.99,6.4,6.02,109,150,117,148,296,321,291
2021,642152,CH,146,"Trivino, Lou",1177,12.4,0.132,0.026,0.208,0.158,0.14,0.166,0.162,5,38,83.2,-6.1,1676,87.3,87.63,26,63,83,0.3,-1.48,5.86,6.55,111,148,115,151,297,330,307
2021,642152,CU,135,"Trivino, Lou",1177,11.5,0.042,0.125,0,0.167,0.153,0.213,0.104,1,24,78,19.4,2382,77.8,77.17,18,38,97,-0.6,-1.35,6.08,6.46,108,149,120,149,300,327,300
2021,593974,FF,118,"Peralta, Wandy",781,15.1,0.294,0.588,0.143,0.882,0.496,0.53,0.349,5,17,93.5,9.2,2207,95.6,94.37,9,43,75,-1.2,1.14,6.16,5.63,107,151,117,147,298,321,290
2021,593974,SL,112,"Peralta, Wandy",781,14.3,0.464,0.214,0.6,0.679,0.493,0.314,0.299,13,28,83.7,11,2288,88.1,87.64,23,59,53,-0.5,1.25,5.97,5.91,108,153,121,145,297,320,291
